Appointed by,Date appointed,Division,End of Term,Name,Party,Region
Chr̩tien,2002-03-26,Newfoundland and Labrador,2017-09-04,George Baker,Liberal,NF
Harper,2012-01-06,Newfoundland and Labrador,2020-11-11,Norman Doyle,Conservative,NF
Chr̩tien,1999-08-11,Newfoundland and Labrador,2023-05-12,George Furey,Liberal,NF
Harper,2011-05-25,Newfoundland and Labrador,2039-05-21,Fabian Manning,Conservative,NF
Harper,2010-01-29,Newfoundland and Labrador,2026-09-07,Elizabeth Marshall,Conservative,NF
Harper,2013-01-25,Newfoundland and Labrador,2037-02-28,"Wells, DavidDavid Wells",Conservative,NF
St. Laurent,1949-08-17,St. John's,1967-11-23,Alexander Baird,Liberal,NF
St. Laurent,1951-01-24,West Coast,1976-11-18,Michael Basha,Liberal,NF
St. Laurent,1953-06-12,Bonavista-Twillingate,1966-03-30,Frederick Gordon Bradley,Liberal,NF
St. Laurent,1950-01-25,St. Jacques,1953-12-19,Vincent Burke,Liberal,NF
Pearson,1966-07-08,The Grand Banks,1977-07-28,Chesley William Carter,Liberal,NF
Mulroney,1986-11-17,Newfoundland and Labrador,2012-09-23,Ethel Cochrane,Conservative,NF
Pearson,1964-02-14,St. John's East,1984-07-26,Eric Cook,Independent,NF
Chr̩tien,1998-03-06,Newfoundland and Labrador,2009-10-06,Joan Cook,Liberal,NF
Clark,1979-10-03,Harbour Main-Bell Island,2005-12-27,C. William Doody,Progressive Conservative,NF
Pearson,1966-07-08,Avalon,1978-02-28,James Duggan,Liberal,NF
Diefenbaker,1959-01-15,St. John's East,1963-07-01,John Gilbert Higgins,Progressive Conservative,NF
Diefenbaker,1961-10-06,Burin,1971-03-31,Malcolm Mercer Hollett,Progressive Conservative,NF
Trudeau,1978-03-23,St. John's,1999-11-28,Philip Lewis,Liberal,NF
Harper,2009-01-02,Newfoundland and Labrador,2039-05-21,Fabian Manning,Conservative,NF
Trudeau,1978-03-23,Humber-St. George's-St. Barbe,1994-11-26,Jack Marshall,Progressive Conservative,NF
Mulroney,1987-12-30,Waterford-Trinity,1998-01-18,Gerry Ottenheimer,Progressive Conservative,NF
St. Laurent,1949-08-17,Newfoundland,1949-12-04,George Penny,Liberal,NF
St. Laurent,1949-08-17,Bonavista,1961-02-16,Ray Petten,Liberal,NF
Pearson,1968-04-08,Bonavista,1998-01-28,William Petten,Liberal,NF
St. Laurent,1951-01-24,St. John's West,1963-11-13,Calvert Pratt,Liberal,NF
St. Laurent,1951-01-24,Burgeo-Lapoile,1952-04-02,Herman William Quinton,Liberal,NF
Chr̩tien,1995-09-21,Newfoundland and Labrador,2011-05-13,Bill Rompkey,Liberal,NF
Trudeau,1971-12-09,Lewisporte,1987-09-28,Frederick William Rowe,Liberal,NF
Chr̩tien,2000-06-09,Newfoundland and Labrador,2001-02-06,Raymond Squires,Liberal,NF
