Appointed by,Date appointed,Division,End of Term,Name,Party,Region
Harper,2013-01-25,Alberta,2027-05-10,Doug Black3,Conservative,AB
Martin,2005-03-24,Alberta,2021-03-07,Elaine McCoy,Progressive Conservative,AB
Martin,2005-03-24,Alberta,2026-07-19,Grant Mitchell,Liberal,AB
Harper,2013-03-25,Alberta,2037-02-25,"Tannas, ScottScott Tannas3",Conservative,AB
Martin,2005-03-24,Alberta,2023-07-27,Claudette Tardif,Liberal,AB
Harper,2012-01-06,Alberta,2018-08-08,Betty Unger3,Conservative,AB
Chr̩tien,2000-04-07,Alberta,2011-12-17,Tommy Banks,Liberal,AB
Clark,1979-09-27,Lakeland,1990-09-26,Martha Bielish,Progressive Conservative,AB
King,1940-01-29,St. Albert,1964-11-10,Aristide Blais,Liberal,AB
Harper,2007-07-10,Alberta,2013-03-22,Bert Brown3,Conservative,AB
Diefenbaker,1959-01-15,Edmonton,1965-10-02,John Alexander Buchanan,Progressive Conservative,AB
King,1925-09-05,Lethbridge,1954-07-11,William Ashbury Buchanan,Liberal,AB
Bennett,1931-07-06,Calgary,1936-06-01,Patrick Burns,Independent,AB
St. Laurent,1955-07-28,Banff,1987-09-19,Donald Cameron,Independent Liberal,AB
Chr̩tien,1997-11-26,Alberta,2004-02-08,Thelma Chalifoux,Liberal,AB
King,1923-08-14,Edmonton,1924-09-23,Jean C̫t̩,Liberal,AB
Laurier,1906-03-08,Lethbridge,1925-07-09,Leverett George DeVeber,Liberal,AB
Trudeau,1984-06-29,Lethbridge,2013-01-18,Joyce Fairbairn,Liberal,AB
Chr̩tien,1996-05-16,Edmonton,1998-08-28,Jean Forest,Liberal,AB
Laurier,1911-05-02,Banff,1923-06-08,Am̩d̩e E. Forget,Liberal,AB
King,1945-04-18,Medicine Hat,1968-03-26,Frederick Gershaw,Liberal,AB
Mulroney,1993-03-25,Alberta,2000-03-31,Ron Ghitter,Progressive Conservative,AB
Diefenbaker,1958-01-31,Lethbridge,1971-03-31,James Gladstone,Independent Conservative,AB
Meighen,1921-09-15,Edmonton,1945-01-21,William Griesbach,Conservative,AB
Borden,1918-02-05,Edmonton,1947-09-09,William Harmer,Liberal,AB
Pearson,1966-02-24,Palliser-Foothills,1996-05-05,Earl Hastings,Liberal,AB
Trudeau,1984-06-29,Calgary,2007-06-30,Daniel Philip Hays,Liberal,AB
Pearson,1966-02-24,Calgary,1982-05-04,Harry Hays,Liberal,AB
King,1925-09-05,St. Paul,1931-04-11,Prosper-Edmond Lessard,Liberal,AB
MacDonald,1889-12-12,"Calgary, NWT (1889.12.10 - 1905.08.31) Calgary, AB (1905.09.01 - 1925.11.02)",1925-11-02,James Lougheed,Liberal-Conservative,AB
St. Laurent,1949-05-09,Edmonton,1958-04-18,James A. MacKinnon,Liberal,AB
Trudeau,1970-10-07,Edmonton West,1983-09-20,Ernest Manning,Social Credit,AB
Borden,1918-02-05,Alberta,1947-06-16,Edward Michener,Conservative,AB
Trudeau,1977-04-05,Alberta South,1996-03-07,Bud Olson,Liberal,AB
Pearson,1966-02-24,Edmonton,1976-09-27,James Harper Prowse,Liberal,AB
King,1926-06-25,Alberta,1948-04-27,Daniel Edward Riley,Liberal,AB
Chr̩tien,1998-09-17,Edmonton,2004-06-14,Douglas Roche,Independent,AB
St. Laurent,1948-12-01,Calgary,1956-09-26,George Henry Ross,Liberal,AB
Laurier,1906-03-08,Edmonton,1911-04-21,Philippe Roy,Liberal,AB
St. Laurent,1949-09-07,Bruce,1965-06-08,Wesley Stambaugh,Liberal,AB
Laurier,1906-03-08,Alberta,1919-12-06,Peter Talbot,Liberal,AB
Chr̩tien,1996-03-07,Bon Accord (1996.03.07-1999.01.01) Sturgeon (1999.01.01-2002.11.17),2002-11-17,Nicholas Taylor,Liberal,AB
Mulroney,1990-09-27,Alberta,1997-10-30,Walter Patrick Twinn,Progressive Conservative,AB
Mulroney,1990-06-11,Alberta,1991-09-25,Stanley Waters3,Reform,AB
Mulroney,1990-09-27,Winnipeg-Interlake,2021-04-27,Janis Johnson,Conservative,AB
Mulroney,1990-09-27,Saskatchewan,2001-02-27,Eric Berntson,Progressive Conservative,AB
