Appointed by,Date appointed,Division,End of Term,Name,Party,Region
Harper,2010-07-09,Toronto,2027-04-29,Salma Ataullahjan,Conservative,ON
Harper,2013-01-25,Ontario,2024-02-18,Lynn Beyak,Conservative,ON
Harper,2010-05-20,Ontario,2016-05-31,David Braley,Conservative,ON
Trudeau,1984-01-13,Toronto Centre Toronto Centre-York3,2018-08-12,Anne Cools,Independent,ON
Harper,2009-01-02,Ontario,2020-01-21,Nicole Eaton,Conservative,ON
Martin,2005-03-24,Ontario,2018-09-29,Art Eggleton,Liberal,ON
Harper,2012-09-06,Ontario,2030-12-02,"Enverga, Tobias C.Tobias C. Enverga",Conservative,ON
Harper,2009-08-27,Ontario,2038-01-13,Linda Frum,Conservative,ON
Harper,2009-01-02,Ontario,2016-02-10,Irving Gerstein,Conservative,ON
Chr̩tien,2003-09-09,Ontario,2028-11-10,Mac Harb,Independent,ON
Trudeau,1984-06-29,Rideau,2018-12-10,Colin Kenny,Liberal,ON
Mulroney,1993-06-18,Ontario,2015-07-04,Marjory LeBreton,Conservative,ON
Harper,2010-12-20,Ontario,2039-07-13,Don Meredith,Conservative,ON
Chr̩tien,2003-12-10,Ottawa/Rideau Canal,2021-07-24,Jim Munson,Liberal,ON
Martin,2005-03-24,Cluny,2017-01-06,Nancy Ruth,Conservative,ON
Harper,2012-09-06,Ontario,2022-01-03,"Ngo, Thanh HaiThanh Hai Ngo",Conservative,ON
Harper,2013-01-25,Ontario,2024-06-10,Victor Oh,Conservative,ON
Chr̩tien,1995-09-22,Northern Ontario,2020-06-21,Marie-Paule Poulin,Liberal,ON
Harper,2010-01-29,Thousand Islands and Rideau Lakes,2017-08-10,Bob Runciman,Conservative,ON
Martin,2005-08-02,Kingston-Frontenac-Leeds,2025-10-13,Hugh Segal,Conservative,ON
Harper,2012-01-06,Ontario,2014-12-15,Asha Seth,Conservative,ON
Chr̩tien,2002-06-25,Cobourg,2016-05-16,David Smith,Liberal,ON
Harper,2012-02-20,Ontario,2034-02-21,Vernon White,Conservative,ON
Royal ProclamationBowell,1867-10-23,Ontario,1882-05-30,James Cox Aikins,Liberal-Conservative,ON
Pearson,1964-11-10,Toronto,1974-11-28,John Black Aird,Liberal,ON
MacDonald,1873-05-30,Woodstock,1891-05-29,George Alexander,Conservative,ON
Royal Proclamation,1867-10-23,York,1901-07-24,George Allan,Liberal-Conservative,ON
Bennett,1935-07-20,Ontario,1937-10-07,James Arthurs,Conservative,ON
Mulroney,1986-07-02,Markham,2009-06-27,Norman Atkins,Progressive Conservative,ON
King,1923-01-11,North York,1952-02-13,Allen Bristol Aylesworth,Liberal,ON
Laurier,1907-01-15,Bowmanville,1922-01-26,Robert Beith,Liberal,ON
Laurier,1907-11-22,Ottawa,1932-08-07,Napol̩on Belcourt,Liberal,ON
Diefenbaker,1963-02-04,Sudbury,1992-11-03,Rh̩al B̩lisle,Progressive Conservative,ON
King,1942-11-19,Lincoln,1947-12-09,John Joseph Bench,Liberal,ON
Pearson,1965-07-07,Kenora-Rainy River,1985-04-01,William Moore Benidickson,Liberal,ON
Borden,1917-11-13,Simcoe East,1925-03-15,William Bennett,Conservative,ON
Macdonald,1868-03-14,St. Catharines,1885-03-18,James Rea Benson,Liberal-Conservative,ON
Trudeau,1978-03-23,Carleton,1983-01-15,Florence Bird,Liberal,ON
King,1945-04-18,Ottawa,1966-09-23,Charles Lawrence Bishop,Liberal,ON
Borden,1917-07-26,Peel,1926-11-27,Richard Blain,Conservative,ON
