Appointed by,Date appointed,Division,End of Term,Name,Party,Region
Chr̩tien,1997-09-23,Prince Edward Island,2014-07-25,Catherine Callbeck,Liberal,PE
Chr̩tien,2003-03-26,Charlottetown,2029-07-08,Percy Downe,Liberal,PE
Harper,2009-01-02,Cavendish,2021-05-21,Mike Duffy,Independent,PE
Chr̩tien,2001-03-08,Prince Edward Island,2017-09-08,Elizabeth Hubley,Liberal,PE
Chr̩tien,1995-09-21,"St. Peter's, Kings County",1997-07-05,Doris Margaret Anderson,Liberal,PE
Bowell,1895-02-18,Prince Edward Island,1897-12-14,Joseph-Octave Arsenault,Conservative,PE
St. Laurent,1949-07-06,Prince,1962-02-06,George Hilton Barbour,Liberal,PE
Trudeau,1971-11-15,Murray River,1998-01-04,Lorne Bonnell,Liberal,PE
MacDonald,1879-12-18,Charlottetown,1894-07-03,Jedediah Slason Carvell,Conservative,PE
Thompson,1893-09-04,Queen's,1909-09-03,Donald Ferguson,Conservative,PE
St. Laurent,1949-06-25,Montague,1965-08-19,Thomas Vincent Grant,Liberal,PE
Macdonald,1873-10-18,Prince Edward Island,1879-07-01,Thomas Heath Haviland,Conservative,PE
Macdonald,1873-10-18,Queen's,1891-05-07,Robert Haythorne,Liberal,PE
Macdonald,1873-10-18,Alberton,1880-12-27,George William Howlan,Liberal,PE
King,1925-09-05,King's,1941-03-05,James Joseph Hughes,Liberal,PE
St. Laurent,1955-07-28,Murray Harbour,1986-05-31,Florence Elsie Inman,Liberal,PE
Chr̩tien,1998-03-06,Prince Edward Island,1999-06-12,Archibald Johnstone,Liberal,PE
St. Laurent,1953-05-19,Queen's,1954-03-31,John Walter Jones,Liberal,PE
Pearson,1966-07-08,Cardigan,1974-12-01,Thomas Joseph Kickham,Liberal,PE
King,1925-09-05,Prince,1943-12-27,Creelman MacArthur,Liberal,PE
Macdonald,1891-05-11,Charlottetown,1912-03-21,Andrew Macdonald,Liberal-Conservative,PE
Bennett,1935-07-20,Cardigan,1948-11-15,John Alexander Macdonald,Conservative,PE
Diefenbaker,1958-01-27,Queen's,1971-04-20,John Joseph MacDonald,Progressive Conservative,PE
Clark,1979-10-03,Hillsborough,1994-09-18,Heath MacQuarrie,Progressive Conservative,PE
King,1943-02-19,Mount Stewart,1957-04-08,James P. McIntyre,Liberal,PE
Borden,1915-12-03,Souris,1936-02-20,John McLean,Conservative,PE
Macdonald,1873-10-18,Park Corner,1893-07-31,Donald Montgomery,Conservative,PE
Borden,1912-11-20,Tignish,1925-03-06,Patrick Charles Murphy,Conservative,PE
Chr̩tien,1999-08-11,Prince Edward Island,2000-08-23,Melvin Perry,Liberal,PE
Diefenbaker,1963-02-05,Prince,1999-03-24,Orville Howard Phillips,Progressive Conservative,PE
Laurier,1911-05-05,Charlottetown,1930-02-22,Benjamin Charles Prowse,Liberal,PE
MacDonald,1889-09-14,King's,1902-01-14,Samuel Prowse,Liberal-Conservative,PE
Laurier,1902-02-07,Prince Edward Island,1915-04-13,James Edwin Robertson,Liberal,PE
King,1945-04-19,Summerside,1949-01-20,Brewer Waugh Robinson,Liberal,PE
Mulroney,1986-11-17,Prince Edward Island,2004-07-14,Eileen Rossiter,Progressive Conservative,PE
King,1930-06-07,Queen's,1949-12-23,John Ewen Sinclair,Liberal,PE
Laurier,1898-11-19,East Prince,1924-12-14,John Yeo,Liberal,PE
Mulroney,1990-09-27,"Dartmouth/Eastern Shore, NS","une 9, 200",Michael Forrestall,Conservative,PE
Mulroney,1990-09-27,Maritimes Divisional,1993-05-25,James W. Ross4,Progressive Conservative,PE
