Appointed by,Date appointed,Division,End of Term,Name,Party,Region
Royal Proclamation,1867-10-23,New Brunswick,1876-08-03,John Robertson,Liberal,NB
Trudeau,1968-06-28,Gloucester,1971-10-08,H̩dard-J. Robichaud,Liberal,NB
Trudeau,1973-12-21,L'Acadie-Acadia,2000-10-21,Louis Robichaud,Liberal,NB
King,1924-05-05,Moncton,1944-07-27,Clifford Robinson,Liberal,NB
St. Laurent,1955-07-28,L'Acadie,1970-08-23,Calixte Savoie,Independent Liberal,NB
Clark,1979-10-03,Royal,1990-07-01,Cyril Sherwood,Progressive Conservative,NB
Mulroney,1985-06-26,Edmundston,2001-06-16,Jean-Maurice Simard,Progressive Conservative,NB
Bennett,1935-04-14,Victoria-Carleton,1944-05-19,Benjamin Franklin Smith,Conservative,NB
MacDonald,1891-05-01,Chatham,1902-02-01,Jabez Bunting Snowball,Liberal,NB
Royal Proclamation,1867-10-23,New Brunswick,1873-12-09,William Steeves,Liberal,NB
St. Laurent,1957-01-03,Westmorland,1965-01-17,Austin C. Taylor,Liberal,NB
Mulroney,1990-08-30,Saint John,1993-01-29,Nancy Teed,Progressive Conservative,NB
Bowell,1896-04-23,York,1899-08-25,Thomas Temple,Conservative,NB
Trudeau,1979-03-26,Baie-du-Vin,1996-02-16,Norbert Th̩riault,Liberal,NB
Laurier,1902-02-07,Fredericton,1922-04-27,Frederick Thompson,Liberal,NB
Borden,1913-07-26,Saint John,1923-07-08,William Henry Thorne,Conservative,NB
Borden,1918-03-07,Milltown,1932-12-27,Irving Randall Todd,Conservative,NB
Chr̩tien,2003-09-09,New Brunswick,2008-10-22,Marilyn Trenholme Counsell,Liberal,NB
King,1922-10-27,Gloucester,1944-11-18,On̩siphore Turgeon,Liberal,NB
King,1945-04-18,Gloucester,1966-06-01,Clarence Joseph Veniot,Liberal,NB
Royal Proclamation,1867-10-23,Fredericton,1905-08-20,David Wark,Liberal,NB
Royal Proclamation,1867-10-23,New Brunswick,1880-02-10,Robert Wilmot,Conservative,NB
Bowell,1895-08-05,Westmorland,1912-03-12,Josiah Wood,Conservative,NB
Mulroney,1990-09-27,"Dartmouth/Eastern Shore, NS",2006-06-09,John Michael William Curphey Forrestall,Conservative,NB
Mulroney,1990-09-27,Maritimes Divisional,1993-05-25,James Ross4,Progressive Conservative,NB
oyal Procl,"01867-10-23October 23, 1867",,,William Todd,onservativ,NB
oyal Procl,"01867-10-23October 23, 1867",,,Edward Chandler,iberal-Con,NB
