Appointed by,Date appointed,Division,End of Term,End of term,Name,Party,Region
Harper !Harper,2009-01-02,Yukon,2023-04-03,,Lang !Daniel Lang[1],Conservative,CT
Harper !Harper,2009-08-27,Nunavut,2023-12-30,,Patterson !Dennis Patterson[2],Conservative,CT
Chretian !Chr̩tien,1999-09-02,Northwest Territories,2018-11-21,,Sibbeston !Nick Sibbeston[3],Liberal,CT
Trudeau !Trudeau,1977-04-05,Northwest TerritoriesA,,1999-03-31,Adams !Willie Adams[4],Liberal,CT
Laurier !Laurier,1904-09-30,"Prince Albert, NWTB",,1905-08-31,Davis !Thomas Osborne Davis[5],Liberal,CT
Laurier !Laurier,1904-09-30,"Regina, NWTC",,1905-08-31,Ross !James Hamilton Ross[6],Liberal,CT
Macdonald !Macdonald,1889-12-10,"Calgary, NWTD",,1905-08-31,Lougheed !James Alexander Lougheed[7],Conservative,CT
Macdonald !Macdonald,1888-08-03,"Wolseley, NWTE",,1905-08-31,Perley !William Dell Perley[8],Conservative,CT
Macdonald !Macdonald,1888-02-23,"Edmonton, NWT",,1889-10-18,Hardisty !Richard Hardisty[9],Conservative,CT
Chretien !Chr̩tien,1999-09-02,Yukon,,2006-12-31,Christensen !Ione Christensen[10],Liberal,CT
Trudeau !Trudeau,1975-10-23,Yukon,,1999-07-23,Lucier !Paul Lucier[11],Liberal,CT
Trudeau,1999-04-01,NunavutA,,2009-06-22,Willie Adams[4],Liberal,CT
